symbol,strike,right,time,open,high,low,close,volume
SPY,694.0,C,2026-01-26 09:30:00-05:00,0.15,0.23,0.11,0.22,7467.0
SPY,694.0,C,2026-01-26 09:35:00-05:00,0.22,0.37,0.22,0.28,20668.0
SPY,694.0,C,2026-01-26 09:40:00-05:00,0.28,0.4,0.24,0.33,16281.0
SPY,694.0,C,2026-01-26 09:45:00-05:00,0.34,0.42,0.31,0.32,14800.0
SPY,694.0,C,2026-01-26 09:50:00-05:00,0.33,0.4,0.29,0.34,8690.0
SPY,694.0,C,2026-01-26 09:55:00-05:00,0.34,0.39,0.3,0.31,4616.0
SPY,694.0,C,2026-01-26 10:00:00-05:00,0.31,0.32,0.25,0.28,7257.0
SPY,694.0,C,2026-01-26 10:05:00-05:00,0.27,0.3,0.22,0.22,4507.0
SPY,694.0,C,2026-01-26 10:10:00-05:00,0.23,0.35,0.19,0.33,11681.0
SPY,694.0,C,2026-01-26 10:15:00-05:00,0.33,0.47,0.31,0.46,19785.0
SPY,694.0,C,2026-01-26 10:20:00-05:00,0.46,0.57,0.46,0.53,24466.0
SPY,694.0,C,2026-01-26 10:25:00-05:00,0.54,0.54,0.29,0.3,15157.0
SPY,694.0,C,2026-01-26 10:30:00-05:00,0.31,0.42,0.26,0.36,13499.0
SPY,694.0,C,2026-01-26 10:35:00-05:00,0.35,0.39,0.3,0.31,4884.0
SPY,694.0,C,2026-01-26 10:40:00-05:00,0.31,0.32,0.22,0.23,6386.0
SPY,694.0,C,2026-01-26 10:45:00-05:00,0.23,0.4,0.23,0.36,19075.0
SPY,694.0,C,2026-01-26 10:50:00-05:00,0.37,0.47,0.35,0.4,18914.0
SPY,694.0,C,2026-01-26 10:55:00-05:00,0.41,0.46,0.31,0.33,6457.0
SPY,694.0,C,2026-01-26 11:00:00-05:00,0.33,0.36,0.27,0.3,4091.0
SPY,694.0,C,2026-01-26 11:05:00-05:00,0.31,0.32,0.25,0.3,4400.0
SPY,694.0,C,2026-01-26 11:10:00-05:00,0.29,0.3,0.25,0.26,2603.0
SPY,694.0,C,2026-01-26 11:15:00-05:00,0.26,0.28,0.19,0.21,5799.0
SPY,694.0,C,2026-01-26 11:20:00-05:00,0.21,0.32,0.17,0.3,10093.0
SPY,694.0,C,2026-01-26 11:25:00-05:00,0.3,0.38,0.28,0.34,10852.0
SPY,694.0,C,2026-01-26 11:30:00-05:00,0.34,0.4,0.29,0.29,10405.0
SPY,694.0,C,2026-01-26 11:35:00-05:00,0.29,0.35,0.26,0.29,5190.0
SPY,694.0,C,2026-01-26 11:40:00-05:00,0.29,0.31,0.25,0.25,3124.0
SPY,694.0,C,2026-01-26 11:45:00-05:00,0.25,0.3,0.22,0.26,3403.0
SPY,694.0,C,2026-01-26 11:50:00-05:00,0.26,0.32,0.25,0.29,4759.0
SPY,694.0,C,2026-01-26 11:55:00-05:00,0.29,0.32,0.25,0.29,3795.0
SPY,694.0,C,2026-01-26 12:00:00-05:00,0.28,0.48,0.27,0.44,21733.0
SPY,694.0,C,2026-01-26 12:05:00-05:00,0.43,0.49,0.37,0.37,18612.0
SPY,694.0,C,2026-01-26 12:10:00-05:00,0.38,0.4,0.32,0.38,12671.0
SPY,694.0,C,2026-01-26 12:15:00-05:00,0.37,0.43,0.35,0.37,5180.0
SPY,694.0,C,2026-01-26 12:20:00-05:00,0.37,0.43,0.36,0.38,5606.0
SPY,694.0,C,2026-01-26 12:25:00-05:00,0.38,0.41,0.36,0.36,3549.0
SPY,694.0,C,2026-01-26 12:30:00-05:00,0.36,0.38,0.28,0.31,10576.0
SPY,694.0,C,2026-01-26 12:35:00-05:00,0.31,0.35,0.29,0.32,4015.0
SPY,694.0,C,2026-01-26 12:40:00-05:00,0.33,0.36,0.29,0.35,2721.0
SPY,694.0,C,2026-01-26 12:45:00-05:00,0.36,0.36,0.24,0.26,8648.0
SPY,694.0,C,2026-01-26 12:50:00-05:00,0.25,0.3,0.22,0.25,7509.0
SPY,694.0,C,2026-01-26 12:55:00-05:00,0.25,0.27,0.21,0.23,3268.0
SPY,694.0,C,2026-01-26 13:00:00-05:00,0.23,0.25,0.2,0.21,5749.0
SPY,694.0,C,2026-01-26 13:05:00-05:00,0.22,0.22,0.16,0.16,7039.0
SPY,694.0,C,2026-01-26 13:10:00-05:00,0.17,0.2,0.17,0.17,3843.0
SPY,694.0,C,2026-01-26 13:15:00-05:00,0.17,0.3,0.15,0.29,10953.0
SPY,694.0,C,2026-01-26 13:20:00-05:00,0.28,0.39,0.27,0.38,13309.0
SPY,694.0,C,2026-01-26 13:25:00-05:00,0.37,0.45,0.3,0.42,12743.0
SPY,694.0,C,2026-01-26 13:30:00-05:00,0.42,0.6,0.4,0.53,25827.0
SPY,694.0,C,2026-01-26 13:35:00-05:00,0.52,0.55,0.33,0.34,9717.0
SPY,694.0,C,2026-01-26 13:40:00-05:00,0.34,0.36,0.25,0.27,8930.0
SPY,694.0,C,2026-01-26 13:45:00-05:00,0.27,0.28,0.2,0.26,7327.0
SPY,694.0,C,2026-01-26 13:50:00-05:00,0.26,0.32,0.24,0.31,8321.0
SPY,694.0,C,2026-01-26 13:55:00-05:00,0.32,0.32,0.24,0.29,4746.0
SPY,694.0,C,2026-01-26 14:00:00-05:00,0.28,0.32,0.24,0.26,4578.0
SPY,694.0,C,2026-01-26 14:05:00-05:00,0.26,0.37,0.24,0.33,9901.0
SPY,694.0,C,2026-01-26 14:10:00-05:00,0.34,0.42,0.31,0.34,9664.0
SPY,694.0,C,2026-01-26 14:15:00-05:00,0.34,0.37,0.3,0.33,4978.0
SPY,694.0,C,2026-01-26 14:20:00-05:00,0.33,0.33,0.21,0.23,8525.0
SPY,694.0,C,2026-01-26 14:25:00-05:00,0.22,0.33,0.21,0.32,7809.0
SPY,694.0,C,2026-01-26 14:30:00-05:00,0.32,0.36,0.25,0.27,7090.0
SPY,694.0,C,2026-01-26 14:35:00-05:00,0.26,0.29,0.22,0.27,4825.0
SPY,694.0,C,2026-01-26 14:40:00-05:00,0.27,0.36,0.23,0.3,8738.0
SPY,694.0,C,2026-01-26 14:45:00-05:00,0.29,0.33,0.22,0.25,7879.0
SPY,694.0,C,2026-01-26 14:50:00-05:00,0.25,0.27,0.19,0.2,5206.0
SPY,694.0,C,2026-01-26 14:55:00-05:00,0.2,0.26,0.18,0.18,10784.0
SPY,694.0,C,2026-01-26 15:00:00-05:00,0.19,0.21,0.15,0.2,7802.0
SPY,694.0,C,2026-01-26 15:05:00-05:00,0.2,0.22,0.18,0.2,3594.0
SPY,694.0,C,2026-01-26 15:10:00-05:00,0.2,0.21,0.15,0.19,3508.0
SPY,694.0,C,2026-01-26 15:15:00-05:00,0.18,0.19,0.12,0.13,6674.0
SPY,694.0,C,2026-01-26 15:20:00-05:00,0.14,0.2,0.13,0.18,6263.0
SPY,694.0,C,2026-01-26 15:25:00-05:00,0.17,0.18,0.12,0.13,5260.0
